
id,log_message,2025-08-16 19:55:58,source,severity,anomaly_flag,anomaly_reason,target_label
16,Successfully scheduled Software Protection service for re-start at 2125-05-08T14:30:32Z. Reason: RulesEngine.,2025-06-01 15:30:32,Microsoft-Windows-Security-SPP,Information,False,,normal
17,Offline downlevel migration succeeded.,2025-06-01 15:30:02,Microsoft-Windows-Security-SPP,Information,False,,normal
18,Successfully scheduled Software Protection service for re-start at 2125-05-08T14:51:40Z. Reason: RulesEngine.,2025-06-01 15:51:40,Microsoft-Windows-Security-SPP,Information,False,,normal
19,Offline downlevel migration succeeded.,2025-06-01 15:51:10,Microsoft-Windows-Security-SPP,Information,False,,normal
20,PowerEvent handled successfully by the service.,2025-06-01 15:55:10,igcc,Information,False,,normal
21,PowerEvent handled successfully by the service.,2025-06-01 15:54:06,igcc,Information,False,,normal
22,PowerEvent handled successfully by the service.,2025-06-01 15:52:02,igcc,Information,False,,normal
23,Successfully scheduled Software Protection service for re-start at 2125-05-08T14:57:01Z. Reason: RulesEngine.,2025-06-01 15:57:01,Microsoft-Windows-Security-SPP,Information,False,,normal
24,Offline downlevel migration succeeded.,2025-06-01 15:56:31,Microsoft-Windows-Security-SPP,Information,False,,normal
25,Successfully scheduled Software Protection service for re-start at 2125-05-08T14:12:18Z. Reason: RulesEngine.,2025-06-01 15:12:18,Microsoft-Windows-Security-SPP,Information,False,,normal
26,Offline downlevel migration succeeded.,2025-06-01 15:11:32,Microsoft-Windows-Security-SPP,Information,False,,normal
27,Successfully scheduled Software Protection service for re-start at 2125-05-08T14:15:07Z. Reason: RulesEngine.,2025-06-01 15:15:07,Microsoft-Windows-Security-SPP,Information,False,,normal
28,Offline downlevel migration succeeded.,2025-06-01 15:14:37,Microsoft-Windows-Security-SPP,Information,False,,normal
29,PowerEvent handled successfully by the service.,2025-06-01 15:14:37,igcc,Information,False,,normal
30,Successfully scheduled Software Protection service for re-start at 2125-05-08T14:05:35Z. Reason: RulesEngine.,2025-06-01 15:05:35,Microsoft-Windows-Security-SPP,Information,False,,normal
31,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:17:21,SecurityCenter,Information,False,,normal
32,Security Center failed to validate caller with error DC040780.,2025-06-01 15:17:21,SecurityCenter,Error,True,validation failure,anomaly
33,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:27:51,SecurityCenter,Information,False,,normal
34,Security Center failed to validate caller with error DC040780.,2025-06-01 15:27:51,SecurityCenter,Error,True,validation failure,anomaly
35,Successfully scheduled Software Protection service for re-start at 2125-05-08T15:34:19Z. Reason: RulesEngine.,2025-06-01 16:34:19,Microsoft-Windows-Security-SPP,Information,False,,normal
36,Offline downlevel migration succeeded.,2025-06-01 16:33:48,Microsoft-Windows-Security-SPP,Information,False,,normal
37,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:30:47,SecurityCenter,Information,False,,normal
38,Security Center failed to validate caller with error DC040780.,2025-06-01 16:30:47,SecurityCenter,Error,True,validation failure,anomaly
39,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:19:52,SecurityCenter,Information,False,,normal
40,Security Center failed to validate caller with error DC040780.,2025-06-01 16:19:52,SecurityCenter,Error,True,validation failure,anomaly
41,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:08:35,SecurityCenter,Information,False,,normal
42,Security Center failed to validate caller with error DC040780.,2025-06-01 16:08:35,SecurityCenter,Error,True,validation failure,anomaly
43,Successfully scheduled Software Protection service for re-start at 2125-05-08T16:08:35Z. Reason: RulesEngine.,2025-06-01 16:08:35,Microsoft-Windows-Security-SPP,Information,False,,normal
44,Offline downlevel migration succeeded.,2025-06-01 16:08:04,Microsoft-Windows-Security-SPP,Information,False,,normal
45,PowerEvent handled successfully by the service.,2025-06-01 16:08:04,igcc,Information,False,,normal
46,PowerEvent handled successfully by the service.,2025-06-01 16:08:04,igcc,Information,False,,normal
47,PowerEvent handled successfully by the service.,2025-06-01 16:08:04,igcc,Information,False,,normal
48,Successfully scheduled Software Protection service for re-start at 2125-05-08T16:59:32Z. Reason: RulesEngine.,2025-06-01 16:59:32,Microsoft-Windows-Security-SPP,Information,False,,normal
49,Offline downlevel migration succeeded.,2025-06-01 16:59:02,Microsoft-Windows-Security-SPP,Information,False,,normal
50,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:54:07,SecurityCenter,Information,False,,normal
51,Security Center failed to validate caller with error DC040780.,2025-06-01 16:54:07,SecurityCenter,Error,True,validation failure,anomaly
52,PowerEvent handled successfully by the service.,2025-06-01 16:50:21,igcc,Information,False,,normal
53,Successfully scheduled Software Protection service for re-start at 2125-05-08T16:43:11Z. Reason: RulesEngine.,2025-06-01 16:43:11,Microsoft-Windows-Security-SPP,Information,False,,normal
54,Offline downlevel migration succeeded.,2025-06-01 16:42:39,Microsoft-Windows-Security-SPP,Information,False,,normal
55,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:34:19,SecurityCenter,Information,False,,normal
56,Security Center failed to validate caller with error DC040780.,2025-06-01 16:34:19,SecurityCenter,Error,True,validation failure,anomaly
57,Edge garbage collection for extensions on file thread is complete.,2025-06-01 16:34:42,Edge,Information,False,,normal
58,Edge garbage collection for extensions on file thread is complete.,2025-06-01 16:33:38,Edge,Information,False,,normal
59,Chrome garbage collection for extensions on file thread is complete.,2025-06-01 16:29:41,Chrome,Information,False,,normal
60,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:18:10,SecurityCenter,Information,False,,normal
61,Security Center failed to validate caller with error DC040780.,2025-06-01 16:18:10,SecurityCenter,Error,True,validation failure,anomaly
62,PowerEvent handled successfully by the service.,2025-06-01 16:48:28,igcc,Information,False,,normal
63,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:28:09,SecurityCenter,Information,False,,normal
64,Security Center failed to validate caller with error DC040780.,2025-06-01 16:28:09,SecurityCenter,Error,True,validation failure,anomaly
65,Successfully scheduled Software Protection service for re-start at 2125-05-08T17:32:31Z. Reason: RulesEngine.,2025-06-01 17:32:31,Microsoft-Windows-Security-SPP,Information,False,,normal
66,Offline downlevel migration succeeded.,2025-06-01 17:32:01,Microsoft-Windows-Security-SPP,Information,False,,normal
67,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 17:24:56,SecurityCenter,Information,False,,normal
68,Security Center failed to validate caller with error DC040780.,2025-06-01 17:24:56,SecurityCenter,Error,True,validation failure,anomaly
69,Successfully scheduled Software Protection service for re-start at 2125-05-08T17:18:51Z. Reason: RulesEngine.,2025-06-01 17:18:51,Microsoft-Windows-Security-SPP,Information,False,,normal
70,Offline downlevel migration succeeded.,2025-06-01 17:18:21,Microsoft-Windows-Security-SPP,Information,False,,normal
71,PowerEvent handled successfully by the service.,2025-06-01 17:43:25,igcc,Information,False,,normal
72,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 17:33:12,SecurityCenter,Information,False,,normal
73,Security Center failed to validate caller with error DC040780.,2025-06-01 17:33:12,SecurityCenter,Error,True,validation failure,anomaly
74,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 17:22:23,SecurityCenter,Information,False,,normal
75,Security Center failed to validate caller with error DC040780.,2025-06-01 17:22:22,SecurityCenter,Error,True,validation failure,anomaly
76,Successfully scheduled Software Protection service for re-start at 2125-05-08T18:48:44Z. Reason: RulesEngine.,2025-06-01 18:48:44,Microsoft-Windows-Security-SPP,Information,False,,normal
77,Offline downlevel migration succeeded.,2025-06-01 18:48:13,Microsoft-Windows-Security-SPP,Information,False,,normal
78,PowerEvent handled successfully by the service.,2025-06-01 18:48:12,igcc,Information,False,,normal
79,PowerEvent handled successfully by the service.,2025-06-01 18:48:12,igcc,Information,False,,normal
80,PowerEvent handled successfully by the service.,2025-06-01 18:48:12,igcc,Information,False,,normal
81,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 18:45:24,SecurityCenter,Information,False,,normal
82,Security Center failed to validate caller with error DC040780.,2025-06-01 18:45:22,SecurityCenter,Error,True,validation failure,anomaly
83,PowerEvent handled successfully by the service.,2025-06-01 18:45:17,igcc,Information,False,,normal
84,PowerEvent handled successfully by the service.,2025-06-01 18:45:11,igcc,Information,False,,normal
85,PowerEvent handled successfully by the service.,2025-06-01 19:28:07,igcc,Information,False,,normal
86,Service stopped.,2025-06-01 19:00:15,edgeupdate,Information,False,,normal
87,Successfully scheduled Software Protection service for re-start at 2125-05-08T19:12:26Z. Reason: RulesEngine.,2025-06-01 19:12:26,Microsoft-Windows-Security-SPP,Information,False,,normal
88,Offline downlevel migration succeeded.,2025-06-01 19:11:26,Microsoft-Windows-Security-SPP,Information,False,,normal
89,PowerEvent handled successfully by the service.,2025-06-01 19:07:25,igcc,Information,False,,normal
90,Successfully scheduled Software Protection service for re-start at 2125-05-08T20:11:26Z. Reason: RulesEngine.,2025-06-01 20:11:26,Microsoft-Windows-Security-SPP,Information,False,,normal
91,Offline downlevel migration succeeded.,2025-06-01 20:10:26,Microsoft-Windows-Security-SPP,Information,False,,normal
92,Successfully scheduled Software Protection service for re-start at 2125-05-08T20:55:41Z. Reason: RulesEngine.,2025-06-01 20:55:41,Microsoft-Windows-Security-SPP,Information,False,,normal
93,Offline downlevel migration succeeded.,2025-06-01 20:55:10,Microsoft-Windows-Security-SPP,Information,False,,normal
94,PowerEvent handled successfully by the service.,2025-06-01 20:55:09,igcc,Information,False,,normal
95,PowerEvent handled successfully by the service.,2025-06-01 20:55:08,igcc,Information,False,,normal
96,PowerEvent handled successfully by the service.,2025-06-01 20:55:07,igcc,Information,False,,normal
97,PowerEvent handled successfully by the service.,2025-06-01 21:16:30,igcc,Information,False,,normal
98,PowerEvent handled successfully by the service.,2025-06-01 21:10:35,igcc,Information,False,,normal
99,Successfully scheduled Software Protection service for re-start at 2125-05-08T21:10:35Z. Reason: RulesEngine.,2025-06-01 21:10:35,Microsoft-Windows-Security-SPP,Information,False,,normal
100,Offline downlevel migration succeeded.,2025-06-01 21:10:03,Microsoft-Windows-Security-SPP,Information,False,,normal
101,PowerEvent handled successfully by the service.,2025-06-01 21:05:20,igcc,Information,False,,normal
102,Successfully scheduled Software Protection service for re-start at 2125-05-08T21:05:20Z. Reason: RulesEngine.,2025-06-01 21:05:20,Microsoft-Windows-Security-SPP,Information,False,,normal
103,Offline downlevel migration succeeded.,2025-06-01 21:04:50,Microsoft-Windows-Security-SPP,Information,False,,normal
104,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 21:08:58,SecurityCenter,Information,False,,normal
105,Security Center failed to validate caller with error DC040780.,2025-06-01 21:08:58,SecurityCenter,Error,True,validation failure,anomaly
106,PowerEvent handled successfully by the service.,2025-06-01 21:08:56,igcc,Information,False,,normal
107,Hardware has changed from previous boot AppId=55c92734-d682-4d71-983e-d6ec3f16059 SkuId=49cd895b-53b2-4dc4-a5f7-b18aa019ad37.,2025-06-01 21:07:25,Microsoft-Windows-Security-SPP,Information,False,,normal
108,Offline downlevel migration succeeded.,2025-06-01 21:06:55,Microsoft-Windows-Security-SPP,Information,False,,normal
109,Successfully scheduled Software Protection service for re-start at 2125-05-08T22:31:19Z. Reason: RulesEngine.,2025-06-01 22:31:19,Microsoft-Windows-Security-SPP,Information,False,,normal
110,Offline downlevel migration succeeded.,2025-06-01 22:30:48,Microsoft-Windows-Security-SPP,Information,False,,normal
111,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 22:12:38,SecurityCenter,Information,False,,normal
112,Security Center failed to validate caller with error DC040780.,2025-06-01 22:12:38,SecurityCenter,Error,True,validation failure,anomaly
113,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 22:01:55,SecurityCenter,Information,False,,normal
114,Security Center failed to validate caller with error DC040780.,2025-06-01 22:01:55,SecurityCenter,Error,True,validation failure,anomaly
115,Successfully scheduled Software Protection service for re-start at 2125-05-08T21:39:09Z. Reason: RulesEngine.,2025-06-01 21:39:09,Microsoft-Windows-Security-SPP,Information,False,,normal
116,Offline downlevel migration succeeded.,2025-06-01 21:38:36,Microsoft-Windows-Security-SPP,Information,False,,normal
117,PowerEvent handled successfully by the service.,2025-06-01 21:13:04,igcc,Information,False,,normal
118,PowerEvent handled successfully by the service.,2025-06-01 21:13:01,igcc,Information,False,,normal
119,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 21:09:36,SecurityCenter,Information,False,,normal
120,Security Center failed to validate caller with error DC040780.,2025-06-01 21:09:36,SecurityCenter,Error,True,validation failure,anomaly
121,Successfully scheduled Software Protection service for re-start at 2125-05-08T21:03:29Z. Reason: RulesEngine.,2025-06-01 21:03:29,Microsoft-Windows-Security-SPP,Information,False,,normal
122,Offline downlevel migration succeeded.,2025-06-01 21:02:59,Microsoft-Windows-Security-SPP,Information,False,,normal
123,Successfully scheduled Software Protection service for re-start at 2125-05-08T20:55:56Z. Reason: RulesEngine.,2025-06-01 20:55:56,Microsoft-Windows-Security-SPP,Information,False,,normal
124,Offline downlevel migration succeeded.,2025-06-01 20:55:26,Microsoft-Windows-Security-SPP,Information,False,,normal
125,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 20:53:03,SecurityCenter,Information,False,,normal
126,Security Center failed to validate caller with error DC040780.,2025-06-01 20:53:02,SecurityCenter,Error,True,validation failure,anomaly
127,Successfully scheduled Software Protection service for re-start at 2125-05-08T20:52:49Z. Reason: RulesEngine.,2025-06-01 20:52:49,Microsoft-Windows-Security-SPP,Information,False,,normal
128,PowerEvent handled successfully by the service.,2025-06-01 20:52:33,igcc,Information,False,,normal
129,PowerEvent handled successfully by the service.,2025-06-01 20:52:31,igcc,Information,False,,normal
130,Security Center failed to validate caller with error DC040780.,2025-06-01 20:52:26,SecurityCenter,Error,True,validation failure,anomaly
131,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 20:52:26,SecurityCenter,Information,False,,normal
132,PowerEvent handled successfully by the service.,2025-06-01 19:32:19,igcc,Information,False,,normal
133,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 19:17:06,SecurityCenter,Information,False,,normal
134,Security Center failed to validate caller with error DC040780.,2025-06-01 19:17:05,SecurityCenter,Error,True,validation failure,anomaly
135,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 19:36:40,SecurityCenter,Information,False,,normal
136,Security Center failed to validate caller with error DC040780.,2025-06-01 19:36:40,SecurityCenter,Error,True,validation failure,anomaly
137,Chrome garbage collection for extensions on file thread is complete.,2025-06-01 19:35:23,Chrome,Information,False,,normal
138,Edge garbage collection for extensions on file thread is complete.,2025-06-01 19:35:05,Edge,Information,False,,normal
139,Successfully scheduled Software Protection service for re-start at 2125-05-08T16:34:54Z. Reason: RulesEngine.,2025-06-01 16:34:54,Microsoft-Windows-Security-SPP,Information,False,,normal
140,Offline downlevel migration succeeded.,2025-06-01 16:34:13,Microsoft-Windows-Security-SPP,Information,False,,normal
141,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.,2025-06-01 16:34:13,Microsoft-Windows-Winlogon,Warning,False,,normal
142,The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.,2025-06-01 16:34:12,Microsoft-Windows-Winlogon,Warning,False,,normal
143,The Desktop Window Manager has registered the session port.,2025-06-01 16:34:03,Desktop Window Manager,Information,False,,normal
144,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:34:01,SecurityCenter,Information,False,,normal
145,Security Center failed to validate caller with error DC040780.,2025-06-01 16:34:01,SecurityCenter,Error,True,validation failure,anomaly
146,PowerEvent handled successfully by the service.,2025-06-01 16:33:55,igcc,Information,False,,normal
147,Hardware has changed from previous boot. AppId=55c92734-d682-4d71-983e-d6ec3f16059f SkuId=49cd895b-53b2-4dc4-a5f7-b18aa019ad37.,2025-06-01 16:33:53,Microsoft-Windows-Security-SPP,Information,False,,normal
148,Offline downlevel migration succeeded.,2025-06-01 16:33:53,Microsoft-Windows-Security-SPP,Information,False,,normal
149,PowerEvent handled successfully by the service.,2025-06-01 16:33:51,igcc,Information,False,,normal
150,PowerEvent handled successfully by the service.,2025-06-01 16:33:51,igcc,Information,False,,normal
151,PowerEvent handled successfully by the service.,2025-06-01 16:33:51,igcc,Information,False,,normal
152,PowerEvent handled successfully by the service.,2025-06-01 17:50:14,igcc,Information,False,,normal
153,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.,2025-06-01 17:50:10,Microsoft-Windows-Winlogon,Warning,False,,normal
154,The winlogon notification subscriber <WSearch> was unavailable to handle a notification event.,2025-06-01 17:50:10,Microsoft-Windows-Winlogon,Warning,False,,normal
155,The following application attempted to veto the shutdown: VBoxSVC.exe.,2025-06-01 17:50:04,Microsoft-Windows-Winsrv,Warning,False,,normal
156,The Desktop Window Manager has registered the session port.,2025-06-01 17:50:04,Desktop Window Manager,Information,False,,normal
157,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 17:30:17,SecurityCenter,Information,False,,normal
158,Security Center failed to validate caller with error DC040780.,2025-06-01 17:30:17,SecurityCenter,Error,True,validation failure,anomaly
159,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 17:17:37,SecurityCenter,Information,False,,normal
160,Security Center failed to validate caller with error DC040780.,2025-06-01 17:17:37,SecurityCenter,Error,True,validation failure,anomaly
161,PowerEvent handled successfully by the service.,2025-06-01 17:15:27,igcc,Information,False,,normal
162,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 17:08:01,SecurityCenter,Information,False,,normal
163,Security Center failed to validate caller with error DC040780.,2025-06-01 17:08:01,SecurityCenter,Error,True,validation failure,anomaly
164,Successfully scheduled Software Protection service for re-start at 2125-05-08T16:46:03Z. Reason: RulesEngine.,2025-06-01 16:46:03,Microsoft-Windows-Security-SPP,Information,False,,normal
165,Offline downlevel migration succeeded.,2025-06-01 16:45:28,Microsoft-Windows-Security-SPP,Information,False,,normal
166,PowerEvent handled successfully by the service.,2025-06-01 16:45:28,igcc,Information,False,,normal
167,PowerEvent handled successfully by the service.,2025-06-01 16:45:28,igcc,Information,False,,normal
168,PowerEvent handled successfully by the service.,2025-06-01 16:45:28,igcc,Information,False,,normal
169,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:27:21,SecurityCenter,Information,False,,normal
170,Security Center failed to validate caller with error DC040780.,2025-06-01 16:27:21,SecurityCenter,Error,True,validation failure,anomaly
171,Chrome garbage collection for extensions on file thread is complete.,2025-06-01 16:27:57,Chrome,Information,False,,normal
172,Edge garbage collection for extensions on file thread is complete.,2025-06-01 16:27:46,Edge,Information,False,,normal
173,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.,2025-06-01 16:26:54,Microsoft-Windows-Winlogon,Warning,False,,normal
174,The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.,2025-06-01 16:26:53,Microsoft-Windows-Winlogon,Warning,False,,normal
175,Successfully scheduled Software Protection service for re-start at 2125-05-08T16:26:24Z. Reason: RulesEngine.,2025-06-01 16:26:24,Microsoft-Windows-Security-SPP,Information,False,,normal
176,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 16:26:00,SecurityCenter,Information,False,,normal
177,Security Center failed to validate caller with error DC040780.,2025-06-01 16:26:00,SecurityCenter,Error,True,validation failure,anomaly
178,Offline downlevel migration succeeded.,2025-06-01 16:25:54,Microsoft-Windows-Security-SPP,Information,False,,normal
179,PowerEvent handled successfully by the service.,2025-06-01 16:25:51,igcc,Information,False,,normal
180,PowerEvent handled successfully by the service.,2025-06-01 16:25:49,igcc,Information,False,,normal
181,PowerEvent handled successfully by the service.,2025-06-01 16:25:48,igcc,Information,False,,normal
182,PowerEvent handled successfully by the service.,2025-06-01 15:11:22,igcc,Information,False,,normal
183,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.,2025-06-01 15:11:19,Microsoft-Windows-Winlogon,Warning,False,,normal
184,The winlogon notification subscriber <WSearch> was unavailable to handle a notification event.,2025-06-01 15:11:19,Microsoft-Windows-Winlogon,Warning,False,,normal
185,The following application attempted to veto the shutdown: VBoxSVC.exe.,2025-06-01 15:11:17,Microsoft-Windows-Winsrv,Warning,False,,normal
186,The Desktop Window Manager has registered the session port.,2025-06-01 15:11:16,Desktop Window Manager,Information,False,,normal
187,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:00:45,SecurityCenter,Information,False,,normal
188,Security Center failed to validate caller with error DC040780.,2025-06-01 15:00:45,SecurityCenter,Error,True,validation failure,anomaly
189,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 14:50:26,SecurityCenter,Information,False,,normal
190,Security Center failed to validate caller with error DC040780.,2025-06-01 14:50:26,SecurityCenter,Error,True,validation failure,anomaly
191,Successfully scheduled Software Protection service for re-start at 2125-05-08T15:47:16Z. Reason: RulesEngine.,2025-06-01 15:47:16,Microsoft-Windows-Security-SPP,Information,False,,normal
192,Offline downlevel migration succeeded.,2025-06-01 15:46:45,Microsoft-Windows-Security-SPP,Information,False,,normal
193,Successfully scheduled Software Protection service for re-start at 2125-05-08T15:30:53Z. Reason: RulesEngine.,2025-06-01 15:30:53,Microsoft-Windows-Security-SPP,Information,False,,normal
194,Offline downlevel migration succeeded.,2025-06-01 15:30:23,Microsoft-Windows-Security-SPP,Information,False,,normal
195,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:58:20,SecurityCenter,Information,False,,normal
196,Security Center failed to validate caller with error DC040780.,2025-06-01 15:58:20,SecurityCenter,Error,True,validation failure,anomaly
197,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:47:56,SecurityCenter,Information,False,,normal
198,Security Center failed to validate caller with error DC040780.,2025-06-01 15:47:56,SecurityCenter,Error,True,validation failure,anomaly
199,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:55:26,SecurityCenter,Information,False,,normal
200,Security Center failed to validate caller with error DC040780.,2025-06-01 15:55:26,SecurityCenter,Error,True,validation failure,anomaly
201,Request failed with HTTP 400 Bad Request – malformed JSON in header,2025-06-01 22:45:10,IIS-Server,Error,True,malformed request,anomaly
202,Service 'W3SVC' restarted successfully after configuration change,2025-06-01 22:45:12,IIS-Server,Information,False,,normal
203,Certificate enrollment for Local system failed (0x800706ba),2025-06-01 22:45:15,CertEnroll,Error,True,certificate error,anomaly
204,Service Control Manager: The Windows Defender Antivirus Service terminated unexpectedly. Error 0x8007042B,2025-06-10 00:01:12,Service Control Manager,Error,True,service crash,anomaly
205,System: System rebooted without cleanly shutting down first. Error code 0x80070005,2025-08-10 05:01:15,System,Error,True,unclean restart,anomaly
206,DCOM: The server {9BA05972-F6A8-11CF-A442-00A0C90A8F39} did not register within the required timeout.,2025-06-10 00:01:14,DCOM,Error,True,COM timeout,anomaly
207,System: System rebooted without cleanly shutting down first. Error code 0x80070005,2025-06-10 00:01:15,System,Error,True,unclean restart,anomaly
208,PrintService: Print spooler failed to load plug-in module TPVMMon.dllerror 0x7e,2025-06-10 00:01:16,PrintService,Error,True,missing module,anomaly
209,WinRM: The WinRM service failed to create the SPNs error 0x8007203A,2025-06-10 00:01:17,WinRM,Error,True,SPN creation failure,anomaly
210,LSA: Audit failure 4625 – account lockout for user alice@corp.local,2025-06-10 00:01:18,LSA,Error,True,account lockout,anomaly
211,"WMI: Event filter query could not be reactivated in namespace ""//./root/CIMV2"" error 0x80041032",2025-06-10 00:01:19,WMI,Error,True,WMI query error,anomaly
212,BITS-Client: BITS job {A4B5C6D7-E8F9-0123-4567-89ABCDEF0123} failed error 0x80190194,2025-06-10 00:01:20,BITS-Client,Error,True,download failure,anomaly
213,HttpEvent: SSL handshake failed on port 443 return 0x80090325,2025-06-10 00:01:21,HttpEvent,Error,True,SSL error,anomaly
214,Kernel-Power: Thermal event – CPU temperature exceeded threshold,2025-06-10 00:01:22,Kernel-Power,Error,True,thermal overload,anomaly
215,Dhcp-Client: Failed to obtain lease error 0x79,2025-06-10 00:01:23,Dhcp-Client,Error,True,DHCP timeout,anomaly
216,TerminalServices: Listener RDP-Tcp received connection error 516,2025-06-10 00:01:24,TerminalServices,Error,True,RDP connection error,anomaly
217,Crypt32: Failed auto-update retrieval of third-party root list with error 0x80072ee2,2025-06-10 00:01:25,Crypt32,Error,True,update timeout,anomaly
218,VSS: Volume Shadow Copy Service error: unexpected error VSS_E_PROVIDER_VETO,2025-06-10 00:01:26,VSS,Error,True,VSS provider veto,anomaly
219,Schannel: A fatal alert was received: 40 (handshake_failure),2025-06-10 00:01:27,Schannel,Error,True,TLS alert,anomaly
220,Time-Service: NtpClient unable to set manual peer time source DNS failure on time.windows.com,2025-06-10 00:01:28,Time-Service,Error,True,DNS failure,anomaly
221,Eventlog: The audit log is 90 percent full,2025-06-10 00:01:29,Eventlog,Error,True,log full,anomaly
